pond,lat,manual,granule_id,gtx,source
1,-72.99609999999974,1.7878430834438157,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99608999999974,1.7656602778258588,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99607999999974,1.7429259588837962,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99606999999973,1.7213151334453445,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99605999999973,1.7005916450637395,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99604999999973,1.6800634189711232,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99603999999972,1.6592921197624244,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99602999999972,1.638731754859622,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99601999999972,1.6330064685820855,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99600999999971,1.6125301171162891,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99599999999971,1.5942555334627702,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99598999999971,1.5628082337809974,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.9959799999997,1.5462390019762426,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.9959699999997,1.5299054340462823,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.9959599999997,1.5133159498599826,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.9959499999997,1.4967024796911557,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99593999999969,1.480079705089675,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99592999999969,1.4566989685816714,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99591999999969,1.4348291868285543,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99590999999968,1.4150018694183697,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99589999999968,1.394443958482776,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99588999999968,1.3738137856949788,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99587999999967,1.3498803983031078,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99586999999967,1.3295027006850728,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99585999999967,1.3089519969888184,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99584999999966,1.2910068363047569,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99583999999966,1.2742257626223945,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99582999999966,1.2579825050184914,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99581999999965,1.242207986487022,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99580999999965,1.2262874896247686,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99579999999965,1.2103523454198222,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99578999999964,1.195896210232738,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99577999999964,1.1832166546274423,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99576999999964,1.1755142718479286,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99575999999963,1.187884480959591,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99574999999963,1.1857754890231362,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99573999999963,1.1856754132074698,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99572999999963,1.1876758821581876,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99571999999962,1.1906751543095544,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99570999999962,1.1821076271643187,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99569999999962,1.18854729796743,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99568999999961,1.1959192620858263,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99567999999961,1.204463669666482,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.9956699999996,1.2141674226878243,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.9956599999996,1.224897061245392,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.9956499999996,1.2367346639036612,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.9956399999996,1.2503224153837849,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.9956299999996,1.263994182444309,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99561999999959,1.2779049878033677,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99560999999959,1.2924795672689504,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99559999999958,1.3069478267789114,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99558999999958,1.320932673387632,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99557999999958,1.337337129099479,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99556999999957,1.3538676981605116,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99555999999957,1.3699150849238586,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99554999999957,1.3859132751950116,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99553999999956,1.4047787211084934,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
1,-72.99552999999956,1.424620912233819,ATL03_20190102184312_00810210_006_02.h5,gt2l,Fricker_GRL_2021
