lake_id,dist_along_track_m,lon,lat,manual,STD_high,STD_low,Z_green,Green_z_lit,Z_red,Red_z_lit,DEM_zeroed,surrf_2024
1,906.5,-49.137175616330246,67.08373030690494,3.4705988824284195,3.590733305063542,3.350464459793297,4.975739761,6.824986598,2.515103525,3.45195024,2.699632885887539,3.405109132759791
1,901.5,-49.137162655621566,67.08377485526164,3.5340577152916657,3.65831298315737,3.4098024471699557,5.094299553,6.98735948,2.557558955,3.50999993,2.7055625,3.488848163428198
1,896.5,-49.13714970535142,67.08381940419267,3.5984084467932025,3.726620246262685,3.470196646514135,5.094299553,6.98735948,2.557558955,3.50999993,2.807125,3.5728392693578335
1,891.5,-49.137136755081265,67.08386395312368,3.6659053743464796,3.799831439651596,3.531979308404526,5.258298603,7.211936581,2.589756138,3.554012919,2.8618125,3.644267248629965
1,886.5,-49.13712374440535,67.08390849922236,3.7350475307920346,3.8756090617155197,3.594485999785257,5.258298603,7.211936581,2.589756138,3.554012919,2.864846564682172,3.7253049136525243
1,881.5,-49.13711072185883,67.0839530447682,3.799551999230163,3.9495094776641686,3.649594520325914,5.304675259,7.275438087,2.618914537,3.593863816,2.838375,3.8037397872883294
1,876.5,-49.13709772958352,67.08399759179825,3.8625624560803673,4.021848392299645,3.7032765189086887,5.304675259,7.275438087,2.618914537,3.593863816,2.854,3.8776697621656075
1,871.5,-49.137084737308214,67.08404213882832,3.91055169489609,4.066772332291265,3.7543310576556235,5.311850387,7.285262441,2.649058202,3.63505288,2.9243125,3.9451446684051166
1,866.5,-49.13707172191416,67.08408668478384,3.955557820672666,4.10628205913601,3.8048335829475297,5.311850387,7.285262441,2.649058202,3.63505288,3.00548113354045,4.006669966926619
1,861.5,-49.137058656312355,67.08413122840578,3.99093378847993,4.128312416326466,3.853555160264575,5.661890949,7.764468818,2.671230506,3.66534406,3.0336875,4.064036454332721
1,856.5,-49.13704561704691,67.0841757732681,4.026294418387733,4.1551200096248015,3.8974688263886015,5.661890949,7.764468818,2.671230506,3.66534406,3.0493125,4.116587182540617
1,851.5,-49.13703261452564,67.08422031986102,4.061634771078012,4.188264410346825,3.9350051316006867,5.731957905,7.860371879,2.671230506,3.66534406,3.0649375,4.170767596481956
1,846.5,-49.137019590222074,67.08426486544154,4.100612781715078,4.230557617769786,3.970667945660372,5.839030075,8.00691271,2.671230506,3.66534406,3.1089055660952494,4.221097242645388
1,841.5,-49.13700649881164,67.08430940790312,4.1417867825220975,4.278376936089807,4.005196628954387,5.513525943,7.561375557,2.662295353,3.653137686,3.1665,4.274588349432612
1,836.5,-49.13699342248154,67.08435395117799,4.182794748646444,4.328048010629106,4.03754148621175,5.513525943,7.561375557,2.662295353,3.653137686,3.2541232790316994,4.327513264979234
1,831.5,-49.13698034990956,67.08439849466001,4.223786939661127,4.37811862786899,4.069455250453265,5.554906602,7.618023366,2.662295353,3.653137686,3.307125,4.38076789802647
1,826.5,-49.13696722688088,67.08444303571318,4.2668999956736,4.426585354081345,4.107214636265855,5.554906602,7.618023366,2.662295353,3.653137686,3.3487349345214397,4.434375458565766
1,821.5,-49.1369541038522,67.08448757676635,4.3113000779183475,4.47585341772891,4.146746737332795,5.811038626,7.968604605,2.680256052,3.677673113,3.3774375,4.488146440686921
1,816.5,-49.13694102030711,67.08453211966963,4.360746878147644,4.528264603030547,4.193229153596759,5.811038626,7.968604605,2.680256052,3.677673113,3.38983894238482,4.542159771816461
1,811.5,-49.136927978348254,67.08457666452156,4.410245738314247,4.581257711347502,4.239233766280991,5.755544539,7.892654266,2.689373838,3.690127336,3.432125,4.596136089623231
1,806.5,-49.13691479910249,67.08462120305111,4.459813472426209,4.635124991163673,4.2845019546887455,5.755544539,7.892654266,2.689373838,3.690127336,3.471551261433837,4.649938547722266
1,801.5,-49.13690161205074,67.0846657412212,4.506452542095945,4.690308999344384,4.322596085521075,5.66575663,7.769760075,2.712584502,3.721827562,3.5493125,4.7035053230576995
1,796.5,-49.13688846247877,67.08471028112568,4.55105691525154,4.746411200628139,4.355702629995043,5.66575663,7.769760075,2.712584502,3.721827562,3.606383673538275,4.756654801966722
1,791.5,-49.13687533535176,67.0847548220688,4.597461036025509,4.803111953747136,4.3918101187372605,5.720208253,7.844290174,2.726806391,3.741248502,3.6586875,4.809216875061254
