Point_num,Latitude,Longitude,Distance along the transect (m),Depth,STD high,STD low
78,67.53219599,-48.28918405,1177.990813,3.117962181,3.282124502,2.953799859
79,67.53232941,-48.28922343,1193.09326,3.07495091,3.212785715,2.937116106
80,67.53246283,-48.28926297,1208.195706,3.033218712,3.147606239,2.918831185
81,67.53259625,-48.28930312,1223.298152,2.976735768,3.080107654,2.873363882
82,67.53272967,-48.28934319,1238.400599,2.903879603,3.014123077,2.793636128
83,67.53286309,-48.28938346,1253.503045,2.812481389,2.921059901,2.703902877
84,67.53299651,-48.28942391,1268.605491,2.719021951,2.829825387,2.608218515
85,67.53312993,-48.28946527,1283.707937,2.625562513,2.742043976,2.509081051
86,67.53326335,-48.28950581,1298.810384,2.530328948,2.657462481,2.403195414
87,67.53339677,-48.28954651,1313.91283,2.430330765,2.5759649,2.284696631
88,67.53353019,-48.28958779,1329.015276,2.254832653,2.419189396,2.090475911
89,67.53366361,-48.2896288,1344.117723,2.120750206,2.266304907,1.975195506
90,67.53379703,-48.2896699,1359.220169,1.982677695,2.120319995,1.845035395
91,67.53393045,-48.28971214,1374.322615,1.781075907,1.983649594,1.57850222
92,67.53406387,-48.28975297,1389.425062,1.554586588,1.779149377,1.330023799
93,67.53419729,-48.2897937,1404.527508,1.331662285,1.600883702,1.062440869
94,67.53433071,-48.28983615,1419.629954,1.123425044,1.386733197,0.860116891
95,67.53446413,-48.28987669,1434.732401,0.926855994,1.142096662,0.711615326
96,67.53459755,-48.28991726,1449.834847,0.731183563,0.897323305,0.56504382
97,67.53473097,-48.28995705,1464.937293,0.501315588,0.63593859,0.366692585
98,67.53486438,-48.28999678,1480.03974,0.22018287,0.328464017,0.111901723
99,67.5349978,-48.29003654,1495.142186,0,0,0
