DIST_green,Z_green,Z_green_min_Ad,Z_green_max_Ad,DIST_red,Z_red,Z_red_min_Ad,Z_red_max_Ad,DIST_dem,DEM_uncorrected_z,Z_corrected_dem,DIST_along_transect_corrected_IS2,Manual_depths_IS2,STD_high,STD_low,,DEM_first_zero
75.58304133,2.373261213,-2.083175182,5.705859661,75.58304133,1.271474004,-0.14523828,2.032912731,215.7552596,1240.2994,2.37505,,,,,,2.8063
76.28288431,2.373261213,-2.083175182,5.705859661,76.28288431,1.271474004,-0.14523828,2.032912731,217.7529922,1240.2412,2.43325,,,,,,2.8645
76.98272729,2.373261213,-2.083175182,5.705859661,76.98272729,1.271474004,-0.14523828,2.032912731,219.7506452,1240.253,2.42145,,,,,,2.8527
77.68257026,2.373261213,-2.083175182,5.705859661,77.68257026,1.271474004,-0.14523828,2.032912731,221.7483965,1240.3379,2.33655,,,,,,2.7678
78.38241324,2.373261213,-2.083175182,5.705859661,78.38241324,1.271474004,-0.14523828,2.032912731,223.7461291,1240.4099,2.26455,,,,,,2.6958
79.08225621,2.373261213,-2.083175182,5.705859661,79.08225621,1.271474004,-0.14523828,2.032912731,225.7438804,1240.4678,2.20665,,,,,,2.6379
79.78209919,2.373261213,-2.083175182,5.705859661,79.78209919,1.271474004,-0.14523828,2.032912731,227.741613,1240.5079,2.16655,,,,,,2.5978
80.48194216,2.505024433,-1.951411963,5.837623119,80.48194216,1.405508995,-0.011203268,2.166947603,229.7393643,1240.493,2.18145,,,,,,2.6127
81.18178514,2.505024433,-1.951411963,5.837623119,81.18178514,1.405508995,-0.011203268,2.166947603,231.7370969,1240.4054,2.26905,,,,,,2.7003
81.88162811,2.505024433,-1.951411963,5.837623119,81.88162811,1.405508995,-0.011203268,2.166947603,233.7348482,1240.3537,2.32075,,,,,,2.752
82.58147109,2.505024433,-1.951411963,5.837623119,82.58147109,1.405508995,-0.011203268,2.166947603,235.7325808,1240.2999,2.37455,,,,,,2.8058
83.28131406,2.505024433,-1.951411963,5.837623119,83.28131406,1.405508995,-0.011203268,2.166947603,237.7303321,1240.3278,2.34665,,,,,,2.7779
83.98115704,2.505024433,-1.951411963,5.837623119,83.98115704,1.405508995,-0.011203268,2.166947603,239.7280833,1240.3559,2.31855,,,,,,2.7498
84.68100001,2.505024433,-1.951411963,5.837623119,84.68100001,1.405508995,-0.011203268,2.166947603,241.7257177,1240.4086,2.26585,,,,,,2.6971
85.38084299,2.505024433,-1.951411963,5.837623119,85.38084299,1.405508995,-0.011203268,2.166947603,243.7234689,1240.4544,2.22005,,,,,,2.6513
86.08068596,2.505024433,-1.951411963,5.837623119,86.08068596,1.405508995,-0.011203268,2.166947603,245.7212016,1240.4506,2.22385,,,,,,2.6551
86.78052894,2.505024433,-1.951411963,5.837623119,86.78052894,1.405508995,-0.011203268,2.166947603,247.7189528,1240.4439,2.23055,,,,,,2.6618
87.48037191,2.505024433,-1.951411963,5.837623119,87.48037191,1.405508995,-0.011203268,2.166947603,249.7166855,1240.4435,2.23095,,,,,,2.6622
88.18021489,2.505024433,-1.951411963,5.837623119,88.18021489,1.405508995,-0.011203268,2.166947603,251.7144367,1240.463,2.21145,,,,,,2.6427
88.88005787,2.505024433,-1.951411963,5.837623119,88.88005787,1.405508995,-0.011203268,2.166947603,253.7121694,1240.5292,2.14525,,,,,,2.5765
