DIST_green,Green_z_lit,Z_green,DIST_green_uncert,Z_green_min_stdev_mean,Z_green_max_stdev_mean,DIST_red,Red_z_lit,Z_red,Standard deviation,Mean,DIST_red_uncert,Z_red_min_stdev_mean,Z_red_max_stdev_mean,DIST_dem,DEM_zeroed,DIST_along_transect_corrected_IS2,Manual_depths_IS2,STD_high,STD_low,,green - dem,red - dem,average(g - dem),average(r - dem)
19.59924214,-0.364423518,-0.265123376,19.87843362,-0.834363438,0.23346636,19.59924214,-0.031178132,-0.022685466,0.109581013,-0.029525467,19.87843362,-0.139106481,0.080055546,19.59924214,0.1051,422.8684971,3.270385597,3.409552329,3.131218865,,-0.370223376,-0.127785466,,
20.29921507,-0.364423518,-0.265123376,20.58837768,-0.834363438,0.23346636,20.29921507,-0.031178132,-0.022685466,0.109581013,-0.029525467,20.58837768,-0.139106481,0.080055546,20.29921507,0.1051,437.9709434,3.364052547,3.503651908,3.224453186,,-0.370223376,-0.127785466,,
20.99918801,-0.364423518,-0.265123376,21.29832174,-0.834363438,0.23346636,20.99918801,-0.031178132,-0.022685466,0.109581013,-0.029525467,21.29832174,-0.139106481,0.080055546,20.99918801,0.0972875,453.0733897,3.457356624,3.599706843,3.315006404,,-0.362410876,-0.119972966,,
21.69916094,-0.364423518,-0.265123376,22.0082658,-0.834363438,0.23346636,21.69916094,-0.031178132,-0.022685466,0.109581013,-0.029525467,22.0082658,-0.139106481,0.080055546,21.69916094,0.0972875,468.175836,3.559061643,3.691875444,3.426247842,,-0.362410876,-0.119972966,,
22.39913387,-0.364423518,-0.265123376,22.71820985,-0.834363438,0.23346636,22.39913387,-0.031178132,-0.022685466,0.109581013,-0.029525467,22.71820985,-0.139106481,0.080055546,22.39913387,0.0972875,483.2782823,3.663085092,3.781147145,3.54502304,,-0.362410876,-0.119972966,,
23.09910681,-0.364423518,-0.265123376,23.42815391,-0.834363438,0.23346636,23.09910681,-0.031178132,-0.022685466,0.109581013,-0.029525467,23.42815391,-0.139106481,0.080055546,23.09910681,0.089475,498.3807287,3.749505469,3.874195741,3.624815197,,-0.354598376,-0.112160466,,
23.79907974,-0.364423518,-0.265123376,24.13809797,-0.834363438,0.23346636,23.79907974,-0.031178132,-0.022685466,0.109581013,-0.029525467,24.13809797,-0.139106481,0.080055546,23.79907974,0.089475,513.483175,3.829058256,3.965520823,3.692595688,,-0.354598376,-0.112160466,,
24.49905267,-0.364423518,-0.265123376,24.84804203,-0.834363438,0.23346636,24.49905267,-0.031178132,-0.022685466,0.109581013,-0.029525467,24.84804203,-0.139106481,0.080055546,24.49905267,0.089475,528.5856213,3.898786867,4.048249231,3.749324504,,-0.354598376,-0.112160466,,
25.19902561,-0.364423518,-0.265123376,25.55798609,-0.834363438,0.23346636,25.19902561,-0.031178132,-0.022685466,0.109581013,-0.029525467,25.55798609,-0.139106481,0.080055546,25.19902561,0.07385,543.6880676,3.97300775,4.131698236,3.814317264,,-0.338973376,-0.096535466,,
25.89899854,-0.364423518,-0.265123376,26.26793014,-0.834363438,0.23346636,25.89899854,-0.031178132,-0.022685466,0.109581013,-0.029525467,26.26793014,-0.139106481,0.080055546,25.89899854,0.07385,558.790514,4.065741758,4.211453589,3.920029926,,-0.338973376,-0.096535466,,
