ice_sheet,melt_season,basin,quality_summary,max_depth,length_water_surfaces,surface_elevation,n_photons_where_water,lon,lat,date_time,lon_min,lon_max,lat_min,lat_max,cycle_number,rgt,gtx,beam_strength,beam_number,detection_quality,lake_quality,granule_id,lake_id,file_name,main_region,basin_name,depth_95th_pctl
GrIS,2019,GRE_2000_CW,12.252151846395654,3.816873151275985,1053.0,1550.4155826416,13322,-47.71379604512671,68.57589665179565,2019-08-02T17:07:47Z,-47.71626462966738,-47.71131807778523,68.56831727065438,68.5834835079942,4,544,gt3l,strong,5,0.709254727285973,17.174441227718955,ATL03_20190802170446_05440405_006_02.h5,simplified_GRE_2000_CW_ATL03_20190802170446_05440405_006_02_gt3l_0017,data/lakes/lake_08774785_GrIS_2019_simplified_GRE_2000_CW_ATL03_20190802170446_05440405_006_02_gt3l_0017.h5,,CW,3.8230479267217437
GrIS,2020,GRE_2000_CW,12.061613994338694,5.363452750091182,888.0,1223.7563763427725,7378,-49.11750544544796,69.96645957918832,2020-07-13T12:00:49Z,-49.12003173386211,-49.1149855953224,69.9595074286532,69.97339195359349,8,277,gt2l,strong,3,0.7990345497485491,14.995045699434854,ATL03_20200713115804_02770803_006_01.h5,simplified_GRE_2000_CW_ATL03_20200713115804_02770803_006_01_gt2l_0019,data/lakes/lake_08793839_GrIS_2020_simplified_GRE_2000_CW_ATL03_20200713115804_02770803_006_01_gt2l_0019.h5,,CW,5.356895905375389
GrIS,2020,GRE_2000_CW,11.95737327638463,3.132625690479537,985.0,1193.0795655517556,8363,-48.562404142839945,68.90747305503837,2020-07-06T01:02:30Z,-48.564942334422746,-48.55987471514798,68.89988118718207,68.91505262961661,8,163,gt2l,strong,3,0.509500234928529,23.36836718218612,ATL03_20200706005932_01630805_006_01.h5,simplified_GRE_2000_CW_ATL03_20200706005932_01630805_006_01_gt2l_0010,data/lakes/lake_08804263_GrIS_2020_simplified_GRE_2000_CW_ATL03_20200706005932_01630805_006_01_gt2l_0010.h5,,CW,3.130065626644845
GrIS,2019,GRE_2000_CW,11.80546721629069,20.74631660358379,1674.0,1355.6099086914046,10969,-50.11047540214759,70.98048427277789,2019-08-18T03:49:36Z,-50.11476221072592,-50.1061840942868,70.96975709013576,70.99120623837776,4,780,gt1l,strong,1,0.4761964435986801,24.6906498851151,ATL03_20190818034635_07800403_006_02.h5,simplified_GRE_2000_CW_ATL03_20190818034635_07800403_006_02_gt1l_0001,data/lakes/lake_08819453_GrIS_2019_simplified_GRE_2000_CW_ATL03_20190818034635_07800403_006_02_gt1l_0001.h5,,CW,20.568611858797187
GrIS,2019,GRE_2000_CW,11.417907216488436,3.7511966764255487,1005.0,1314.2975406494124,7742,-48.28594209614358,68.8375853689262,2019-06-13T06:53:36Z,-48.28851078880877,-48.28338170556031,68.8300139559655,68.84517800033154,3,1161,gt1l,strong,1,0.6948068584947972,16.332973778476525,ATL03_20190613065109_11610303_006_02.h5,simplified_GRE_2000_CW_ATL03_20190613065109_11610303_006_02_gt1l_0001,data/lakes/lake_08858209_GrIS_2019_simplified_GRE_2000_CW_ATL03_20190613065109_11610303_006_02_gt1l_0001.h5,,CW,3.7511208349352763
GrIS,2019,GRE_2000_CW,11.171683822906164,6.482834890940226,815.0,1367.0920541992189,2652,-50.11014913347623,71.02601116145618,2019-07-20T05:13:23Z,-50.11355415319537,-50.10674133778696,71.01864746115857,71.03338139776064,4,338,gt3r,weak,6,0.4380236383561763,25.404168731950637,ATL03_20190720051023_03380403_006_02.h5,simplified_GRE_2000_CW_ATL03_20190720051023_03380403_006_02_gt3r_0005,data/lakes/lake_08882832_GrIS_2019_simplified_GRE_2000_CW_ATL03_20190720051023_03380403_006_02_gt3r_0005.h5,,CW,7.0237386181527315
GrIS,2019,GRE_2000_CW,11.094628962050804,7.254013969870006,589.0,814.4359323730225,11050,-49.36498300216592,69.35510216696454,2019-06-13T19:38:52Z,-49.367012904236965,-49.36294132562158,69.3494100767953,69.36079774474577,3,1169,gt1l,strong,1,0.6671103450609063,16.53062600952141,ATL03_20190613193602_11690305_006_02.h5,simplified_GRE_2000_CW_ATL03_20190613193602_11690305_006_02_gt1l_0002,data/lakes/lake_08890537_GrIS_2019_simplified_GRE_2000_CW_ATL03_20190613193602_11690305_006_02_gt1l_0002.h5,,CW,7.244352002169205
GrIS,2019,GRE_2000_CW,10.33500536884208,9.927080575327416,1487.0,1210.6100727539065,1678,-48.55812459542241,68.87330292840569,2019-07-16T05:21:08Z,-48.5614163632568,-48.55484321451429,68.86320869302197,68.8834260428639,4,277,gt3r,weak,6,0.42903249736983,23.9885353600145,ATL03_20190716051841_02770403_006_02.h5,simplified_GRE_2000_CW_ATL03_20190716051841_02770403_006_02_gt3r_0023,data/lakes/lake_08966499_GrIS_2019_simplified_GRE_2000_CW_ATL03_20190716051841_02770403_006_02_gt3r_0023.h5,,CW,9.903493420318807
GrIS,2020,GRE_2000_CW,10.24358524006621,9.444193462903431,608.0,998.7819340820072,2009,-50.17530704930174,70.68174417791676,2020-07-18T00:37:07Z,-50.17757403733432,-50.17305457281695,70.6760563507023,70.68741760389219,8,346,gt1r,weak,2,0.4644962735205089,21.952630554222072,ATL03_20200718003439_03460805_006_01.h5,simplified_GRE_2000_CW_ATL03_20200718003439_03460805_006_01_gt1r_0004,data/lakes/lake_08975641_GrIS_2020_simplified_GRE_2000_CW_ATL03_20200718003439_03460805_006_01_gt1r_0004.h5,,CW,9.424221009108784
GrIS,2020,GRE_2000_CW,10.039638763082428,11.076968355392696,779.0,999.9425531005612,9314,-50.215539697425655,70.80010130488299,2020-07-18T00:37:05Z,-50.21825153131559,-50.2128395967304,70.79314441623069,70.80704905024243,8,346,gt2l,strong,3,0.6353887435397892,15.70053291756901,ATL03_20200718003439_03460805_006_01.h5,simplified_GRE_2000_CW_ATL03_20200718003439_03460805_006_01_gt2l_0007,data/lakes/lake_08996036_GrIS_2020_simplified_GRE_2000_CW_ATL03_20200718003439_03460805_006_01_gt2l_0007.h5,,CW,11.05372537573716
